"national_number","gen","english_name","japanese_name","primary_type","secondary_type","classification","percent_male","percent_female","height_m","weight_kg","capture_rate","hp","attack","defense","sp_attack","sp_defense","speed","abilities_1","abilities_2","hidden_ability","description","tier"
286,3,"Breloom","キノガッサ (Kinogassa)","Grass","Fighting","Mushroom Pokémon","50%","50%",1.2,39.2,90,60,130,80,60,60,70,"Effect Spore","Poison Heal","Technician",NA,"NU"
287,3,"Slakoth","ナマケロ (Namakero)","Normal",NA,"Slacker Pokémon","50%","50%",0.8,24,255,60,60,60,35,35,30,"Truant",NA,NA,NA,"LC"
288,3,"Vigoroth","ヤルキモノ (Yarukimono)","Normal",NA,"Wild Monkey Pokémon","50%","50%",1.4,46.5,120,80,80,80,55,55,90,"Vital Spirit",NA,NA,NA,"NFE"
289,3,"Slaking","ケッキング (Kekking)","Normal",NA,"Lazy Pokémon","50%","50%",2,130.5,45,150,160,100,95,65,100,"Truant",NA,NA,NA,"ZU"
290,3,"Nincada","ツチニン (Tutinin)","Bug","Ground","Trainee Pokémon","50%","50%",0.5,5.5,255,31,45,90,30,30,40,"Compound Eyes",NA,"Run Away",NA,"National Dex"
291,3,"Ninjask","テッカニン (Tekkanin)","Bug","Flying","Ninja Pokémon","50%","50%",0.8,12,120,61,90,45,50,50,160,"Speed Boost",NA,"Infiltrator",NA,"National Dex"
292,3,"Shedinja","ヌケニン (Nukenin)","Bug","Ghost","Shed Pokémon","","",0.8,1.2,45,1,90,45,30,30,40,"Wonder Guard",NA,NA,NA,"National Dex"
293,3,"Whismur","ゴニョニョ (Gonyonyo)","Normal",NA,"Whisper Pokémon","50%","50%",0.6,16.3,190,64,51,23,51,23,28,"Soundproof",NA,"Rattled",NA,"National Dex"
294,3,"Loudred","ドゴーム (Dogohmb)","Normal",NA,"Big Voice Pokémon","50%","50%",1,40.5,120,84,71,43,71,43,48,"Soundproof",NA,"Scrappy",NA,"National Dex"
295,3,"Exploud","バクオング (Bakuong)","Normal",NA,"Loud Noise Pokémon","50%","50%",1.5,84,45,104,91,63,91,73,68,"Soundproof",NA,"Scrappy",NA,"National Dex"
296,3,"Makuhita","マクノシタ (Makunoshita)","Fighting",NA,"Guts Pokémon","75%","25%",1,86.4,180,72,60,30,20,30,25,"Thick Fat","Guts","Sheer Force",NA,"LC"
297,3,"Hariyama","ハリテヤマ (Hariteyama)","Fighting",NA,"Arm Thrust Pokémon","75%","25%",2.3,253.8,200,144,120,60,40,60,50,"Thick Fat","Guts","Sheer Force",NA,"PU"
298,3,"Azurill","ルリリ (Ruriri)","Normal","Fairy","Polka Dot Pokémon","25%","75%",0.2,2,150,50,20,40,20,40,20,"Thick Fat","Huge Power","Sap Sipper",NA,"LC"
299,3,"Nosepass","ノズパス (Nosepass)","Rock",NA,"Compass Pokémon","50%","50%",1,97,255,30,45,135,45,90,30,"Sturdy","Magnet Pull","Sand Force",NA,"LC"
300,3,"Skitty","エネコ (Eneco)","Normal",NA,"Kitten Pokémon","25%","75%",0.6,11,255,50,45,45,35,35,50,"Cute Charm","Normalize","Wonder Skin",NA,"National Dex"
301,3,"Delcatty","エネコロロ (Enekororo)","Normal",NA,"Prim Pokémon","25%","75%",1.1,32.6,60,70,65,65,55,55,90,"Cute Charm","Normalize","Wonder Skin",NA,"National Dex"
302,3,"Sableye","ヤミラミ (Yamirami)","Dark","Ghost","Darkness Pokémon","50%","50%",0.5,11,45,50,75,75,65,65,50,"Keen Eye","Stall","Prankster",NA,"ZU"
303,3,"Mawile","クチート (Kucheat)","Steel","Fairy","Deceiver Pokémon","50%","50%",0.6,11.5,45,50,85,85,55,55,50,"Hyper Cutter","Intimidate","Sheer Force",NA,"National Dex"
304,3,"Aron","ココドラ (Cokodora)","Steel","Rock","Iron Armor Pokémon","50%","50%",0.4,60,180,50,70,100,40,40,30,"Sturdy","Rock Head","Heavy Metal",NA,"National Dex"
305,3,"Lairon","コドラ (Kodora)","Steel","Rock","Iron Armor Pokémon","50%","50%",0.9,120,90,60,90,140,50,50,40,"Sturdy","Rock Head","Heavy Metal",NA,"National Dex"
306,3,"Aggron","ボスゴドラ (Bossgodora)","Steel","Rock","Iron Armor Pokémon","50%","50%",2.1,360,45,70,110,180,60,60,50,"Sturdy","Rock Head","Heavy Metal",NA,"National Dex"
307,3,"Meditite","アサナン (Asanan)","Fighting","Psychic","Meditate Pokémon","50%","50%",0.6,11.2,180,30,40,55,40,55,60,"Pure Power",NA,"Telepathy",NA,"NFE"
308,3,"Medicham","チャーレム (Charem)","Fighting","Psychic","Meditate Pokémon","50%","50%",1.3,31.5,90,60,60,75,60,75,80,"Pure Power",NA,"Telepathy",NA,"ZU"
309,3,"Electrike","ラクライ (Rakurai)","Electric",NA,"Lightning Pokémon","50%","50%",0.6,15.2,120,40,45,40,65,40,65,"Static","Lightning Rod","Minus",NA,"National Dex"
310,3,"Manectric","ライボルト (Livolt)","Electric",NA,"Discharge Pokémon","50%","50%",1.5,40.2,45,70,75,60,105,60,105,"Static","Lightning Rod","Minus",NA,"National Dex"
311,3,"Plusle","プラスル (Prasle)","Electric",NA,"Cheering Pokémon","50%","50%",0.4,4.2,200,60,50,40,85,75,95,"Plus",NA,"Lightning Rod",NA,"ZU"
312,3,"Minun","マイナン (Minun)","Electric",NA,"Cheering Pokémon","50%","50%",0.4,4.2,200,60,40,50,75,85,95,"Minus",NA,"Volt Absorb",NA,"ZU"
313,3,"Volbeat","バルビート (Barubeat)","Bug",NA,"Firefly Pokémon","100%","0%",0.7,17.7,150,65,73,75,47,85,85,"Illuminate","Swarm","Prankster",NA,"ZU"
314,3,"Illumise","イルミーゼ (Illumise)","Bug",NA,"Firefly Pokémon","0%","100%",0.6,17.7,150,65,47,75,73,85,85,"Oblivious","Tinted Lens","Prankster",NA,"ZU"
315,3,"Roselia","ロゼリア (Roselia)","Grass","Poison","Thorn Pokémon","50%","50%",0.3,2,150,50,60,45,100,80,65,"Natural Cure","Poison Point","Leaf Guard",NA,"National Dex"
316,3,"Gulpin","ゴクリン (Gokulin)","Poison",NA,"Stomach Pokémon","50%","50%",0.4,10.3,225,70,43,53,43,53,40,"Liquid Ooze","Sticky Hold","Gluttony",NA,"LC"
317,3,"Swalot","マルノーム (Marunoom)","Poison",NA,"Poison Bag Pokémon","50%","50%",1.7,80,75,100,73,83,73,83,55,"Liquid Ooze","Sticky Hold","Gluttony",NA,"ZU"
318,3,"Carvanha","キバニア (Kibanha)","Water","Dark","Savage Pokémon","50%","50%",0.8,20.8,225,45,90,20,65,20,65,"Rough Skin",NA,"Speed Boost",NA,"National Dex"
319,3,"Sharpedo","サメハダー (Samehader)","Water","Dark","Brutal Pokémon","50%","50%",1.8,88.8,60,70,120,40,95,40,95,"Rough Skin",NA,"Speed Boost",NA,"National Dex"
320,3,"Wailmer","ホエルコ (Hoeruko)","Water",NA,"Ball Whale Pokémon","50%","50%",2,130,125,130,70,35,70,35,60,"Water Veil","Oblivious","Pressure",NA,"National Dex"
321,3,"Wailord","ホエルオー (Whaloh)","Water",NA,"Float Whale Pokémon","50%","50%",14.5,398,60,170,90,45,90,45,60,"Water Veil","Oblivious","Pressure",NA,"National Dex"
322,3,"Numel","ドンメル (Donmel)","Fire","Ground","Numb Pokémon","50%","50%",0.7,24,255,60,60,40,65,45,35,"Oblivious","Simple","Own Tempo",NA,"LC"
323,3,"Camerupt","バクーダ (Bakuuda)","Fire","Ground","Eruption Pokémon","50%","50%",1.9,220,150,70,100,70,105,75,40,"Magma Armor","Solid Rock","Anger Point",NA,"ZU"
324,3,"Torkoal","コータス (Cotoise)","Fire",NA,"Coal Pokémon","50%","50%",0.5,80.4,90,70,85,140,85,70,20,"White Smoke","Drought","Shell Armor",NA,"ZU"
325,3,"Spoink","バネブー (Baneboo)","Psychic",NA,"Bounce Pokémon","50%","50%",0.7,30.6,255,60,25,35,70,80,60,"Thick Fat","Own Tempo","Gluttony",NA,"LC"
326,3,"Grumpig","ブーピッグ (Boopig)","Psychic",NA,"Manipulate Pokémon","50%","50%",0.9,71.5,60,80,45,65,90,110,80,"Thick Fat","Own Tempo","Gluttony",NA,"ZU"
327,3,"Spinda","パッチール (Patcheel)","Normal",NA,"Spot Panda Pokémon","50%","50%",1.1,5,255,60,60,60,60,60,60,"Own Tempo","Tangled Feet","Contrary",NA,"National Dex"
328,3,"Trapinch","ナックラー (Nuckrar)","Ground",NA,"Ant Pit Pokémon","50%","50%",0.7,15,255,45,100,45,45,45,10,"Hyper Cutter","Arena Trap","Sheer Force",NA,"LC"
329,3,"Vibrava","ビブラーバ (Vibrava)","Ground","Dragon","Vibration Pokémon","50%","50%",1.1,15.3,120,50,70,50,50,50,70,"Levitate",NA,NA,NA,"NFE"
330,3,"Flygon","フライゴン (Flygon)","Ground","Dragon","Mystic Pokémon","50%","50%",2,82,45,80,100,80,80,80,100,"Levitate",NA,NA,NA,"NU"
331,3,"Cacnea","サボネア (Sabonea)","Grass",NA,"Cactus Pokémon","50%","50%",0.4,51.3,190,50,85,40,85,40,35,"Sand Veil",NA,"Water Absorb",NA,"LC"
332,3,"Cacturne","ノクタス (Noctus)","Grass","Dark","Scarecrow Pokémon","50%","50%",1.3,77.4,60,70,115,60,115,60,55,"Sand Veil",NA,"Water Absorb",NA,"ZU"
333,3,"Swablu","チルット (Tyltto)","Normal","Flying","Cotton Bird Pokémon","50%","50%",0.4,1.2,255,45,40,60,40,75,50,"Natural Cure",NA,"Cloud Nine",NA,"LC"
334,3,"Altaria","チルタリス (Tyltalis)","Dragon","Flying","Humming Pokémon","50%","50%",1.1,20.6,45,75,70,90,70,105,80,"Natural Cure",NA,"Cloud Nine",NA,"NU"
335,3,"Zangoose","ザングース (Zangoose)","Normal",NA,"Cat Ferret Pokémon","50%","50%",1.3,40.3,90,73,115,60,60,60,90,"Immunity",NA,"Toxic Boost",NA,"ZU"
336,3,"Seviper","ハブネーク (Habunake)","Poison",NA,"Fang Snake Pokémon","50%","50%",2.7,52.5,90,73,100,60,100,60,65,"Shed Skin",NA,"Infiltrator",NA,"ZU"
337,3,"Lunatone","ルナトーン (Lunatone)","Rock","Psychic","Meteorite Pokémon","","",1,168,45,90,55,65,95,85,70,"Levitate",NA,NA,NA,"National Dex"
338,3,"Solrock","ソルロック (Solrock)","Rock","Psychic","Meteorite Pokémon","","",1.2,154,45,90,95,85,55,65,70,"Levitate",NA,NA,NA,"National Dex"
339,3,"Barboach","ドジョッチ (Dojoach)","Water","Ground","Whiskers Pokémon","50%","50%",0.4,1.9,190,50,48,43,46,41,60,"Oblivious","Anticipation","Hydration",NA,"LC"
340,3,"Whiscash","ナマズン (Namazun)","Water","Ground","Whiskers Pokémon","50%","50%",0.9,23.6,75,110,78,73,76,71,60,"Oblivious","Anticipation","Hydration",NA,"ZU"
341,3,"Corphish","ヘイガニ (Heigani)","Water",NA,"Ruffian Pokémon","50%","50%",0.6,11.5,205,43,80,65,50,35,35,"Hyper Cutter","Shell Armor","Adaptability",NA,"LC"
342,3,"Crawdaunt","シザリガー (Shizariger)","Water","Dark","Rogue Pokémon","50%","50%",1.1,32.8,155,63,120,85,90,55,55,"Hyper Cutter","Shell Armor","Adaptability",NA,"RU"
343,3,"Baltoy","ヤジロン (Yajilon)","Ground","Psychic","Clay Doll Pokémon","","",0.5,21.5,255,40,40,55,40,70,55,"Levitate",NA,NA,NA,"National Dex"
344,3,"Claydol","ネンドール (Nendoll)","Ground","Psychic","Clay Doll Pokémon","","",1.5,108,90,60,70,105,70,120,75,"Levitate",NA,NA,NA,"National Dex"
345,3,"Lileep","リリーラ (Lilyla)","Rock","Grass","Sea Lily Pokémon","87.5%","12.5%",1,23.8,45,66,41,77,61,87,23,"Suction Cups",NA,"Storm Drain",NA,"National Dex"
346,3,"Cradily","ユレイドル (Yuradle)","Rock","Grass","Barnacle Pokémon","87.5%","12.5%",1.5,60.4,45,86,81,97,81,107,43,"Suction Cups",NA,"Storm Drain",NA,"National Dex"
347,3,"Anorith","アノプス (Anopth)","Rock","Bug","Old Shrimp Pokémon","87.5%","12.5%",0.7,12.5,45,45,95,50,40,50,75,"Battle Armor",NA,"Swift Swim",NA,"National Dex"
348,3,"Armaldo","アーマルド (Armaldo)","Rock","Bug","Plate Pokémon","87.5%","12.5%",1.5,68.2,45,75,125,100,70,80,45,"Battle Armor",NA,"Swift Swim",NA,"National Dex"
349,3,"Feebas","ヒンバス (Hinbass)","Water",NA,"Fish Pokémon","50%","50%",0.6,7.4,255,20,15,20,10,55,80,"Swift Swim","Oblivious","Adaptability",NA,"LC"
350,3,"Milotic","ミロカロス (Milokaross)","Water",NA,"Tender Pokémon","50%","50%",6.2,162,60,95,60,79,100,125,81,"Marvel Scale","Competitive","Cute Charm",NA,"PU"
351,3,"Castform","ポワルン (Powalen)","Normal",NA,"Weather Pokémon","50%","50%",0.3,0.8,45,70,70,70,70,70,70,"Forecast",NA,NA,NA,"National Dex"
352,3,"Kecleon","カクレオン (Kakureon)","Normal",NA,"Color Swap Pokémon","50%","50%",1,22,200,60,90,70,60,120,40,"Color Change",NA,"Protean",NA,"National Dex"
353,3,"Shuppet","カゲボウズ (Kagebouzu)","Ghost",NA,"Puppet Pokémon","50%","50%",0.6,2.3,225,44,75,35,63,33,45,"Insomnia","Frisk","Cursed Body",NA,"LC"
354,3,"Banette","ジュペッタ (Juppeta)","Ghost",NA,"Marionette Pokémon","50%","50%",1.1,12.5,45,64,115,65,83,63,65,"Insomnia","Frisk","Cursed Body",NA,"ZU"
355,3,"Duskull","ヨマワル (Yomawaru)","Ghost",NA,"Requiem Pokémon","50%","50%",0.8,15,190,20,40,90,30,90,25,"Levitate",NA,"Frisk",NA,"LC"
356,3,"Dusclops","サマヨール (Samayouru)","Ghost",NA,"Beckon Pokémon","50%","50%",1.6,30.6,90,40,70,130,60,130,25,"Pressure",NA,"Frisk",NA,"NFE"
357,3,"Tropius","トロピウス (Tropius)","Grass","Flying","Fruit Pokémon","50%","50%",2,100,200,99,68,83,72,87,51,"Chlorophyll","Solar Power","Harvest",NA,"ZU"
358,3,"Chimecho","チリーン (Chirean)","Psychic",NA,"Wind Chime Pokémon","50%","50%",0.6,1,45,75,50,80,95,90,65,"Levitate",NA,NA,NA,"ZU"
359,3,"Absol","アブソル (Absol)","Dark",NA,"Disaster Pokémon","50%","50%",1.2,47,30,65,130,60,75,60,75,"Pressure","Super Luck","Justified",NA,"National Dex"
360,3,"Wynaut","ソーナノ (Sohnano)","Psychic",NA,"Bright Pokémon","50%","50%",0.6,14,125,95,23,48,23,48,23,"Shadow Tag",NA,"Telepathy",NA,"National Dex"
361,3,"Snorunt","ユキワラシ (Yukiwarashi)","Ice",NA,"Snow Hat Pokémon","50%","50%",0.7,16.8,190,50,50,50,50,50,50,"Inner Focus","Ice Body","Moody",NA,"LC"
362,3,"Glalie","オニゴーリ (Onigohri)","Ice",NA,"Face Pokémon","50%","50%",1.5,256.5,75,80,80,80,80,80,80,"Inner Focus","Ice Body","Moody",NA,"ZU"
363,3,"Spheal","タマザラシ (Tamazarashi)","Ice","Water","Clap Pokémon","50%","50%",0.8,39.5,255,70,40,50,55,50,25,"Thick Fat","Ice Body","Oblivious",NA,"National Dex"
364,3,"Sealeo","トドグラー (Todoggler)","Ice","Water","Ball Roll Pokémon","50%","50%",1.1,87.6,120,90,60,70,75,70,45,"Thick Fat","Ice Body","Oblivious",NA,"National Dex"
365,3,"Walrein","トドゼルガ (Todoseruga)","Ice","Water","Ice Break Pokémon","50%","50%",1.4,150.6,45,110,80,90,95,90,65,"Thick Fat","Ice Body","Oblivious",NA,"National Dex"
366,3,"Clamperl","パールル (Pearlulu)","Water",NA,"Bivalve Pokémon","50%","50%",0.4,52.5,255,35,64,85,74,55,32,"Shell Armor",NA,"Rattled",NA,"National Dex"
367,3,"Huntail","ハンテール (Huntail)","Water",NA,"Deep Sea Pokémon","50%","50%",1.7,27,60,55,104,105,94,75,52,"Swift Swim",NA,"Water Veil",NA,"National Dex"
368,3,"Gorebyss","サクラビス (Sakurabyss)","Water",NA,"South Sea Pokémon","50%","50%",1.8,22.6,60,55,84,105,114,75,52,"Swift Swim",NA,"Hydration",NA,"National Dex"
369,3,"Relicanth","ジーランス (Glanth)","Water","Rock","Longevity Pokémon","87.5%","12.5%",1,23.4,25,100,90,130,45,65,55,"Swift Swim","Rock Head","Sturdy",NA,"National Dex"
370,3,"Luvdisc","ラブカス (Lovecus)","Water",NA,"Rendezvous Pokémon","25%","75%",0.6,8.7,225,43,30,55,40,65,97,"Swift Swim",NA,"Hydration",NA,"ZU"
371,3,"Bagon","タツベイ (Tatsubay)","Dragon",NA,"Rock Head Pokémon","50%","50%",0.6,42.1,45,45,75,60,40,30,50,"Rock Head",NA,"Sheer Force",NA,"LC"
372,3,"Shelgon","コモルー (Komoruu)","Dragon",NA,"Endurance Pokémon","50%","50%",1.1,110.5,45,65,95,100,60,50,50,"Rock Head",NA,"Overcoat",NA,"NFE"
373,3,"Salamence","ボーマンダ (Bohmander)","Dragon","Flying","Dragon Pokémon","50%","50%",1.5,102.6,45,95,135,80,110,80,100,"Intimidate",NA,"Moxie",NA,"RUBL"
374,3,"Beldum","ダンバル (Dumbber)","Steel","Psychic","Iron Ball Pokémon","","",0.6,95.2,3,40,55,80,35,60,30,"Clear Body",NA,"Light Metal",NA,"LC"
375,3,"Metang","メタング (Metang)","Steel","Psychic","Iron Claw Pokémon","","",1.2,202.5,3,60,75,100,55,80,50,"Clear Body",NA,"Light Metal",NA,"NFE"
376,3,"Metagross","メタグロス (Metagross)","Steel","Psychic","Iron Leg Pokémon","","",1.6,550,3,80,135,130,95,90,70,"Clear Body",NA,"Light Metal",NA,"UU"
377,3,"Regirock","レジロック (Regirock)","Rock",NA,"Rock Peak Pokémon","","",1.7,230,3,80,100,200,50,100,50,"Clear Body",NA,"Sturdy",NA,"ZU"
378,3,"Regice","レジアイス (Regice)","Ice",NA,"Iceberg Pokémon","","",1.8,175,3,80,50,100,100,200,50,"Clear Body",NA,"Ice Body",NA,"ZU"
379,3,"Registeel","レジスチル (Registeel)","Steel",NA,"Iron Pokémon","","",1.9,205,3,80,75,150,75,150,50,"Clear Body",NA,"Light Metal",NA,"RU"
380,3,"Latias","ラティアス (Latias)","Dragon","Psychic","Eon Pokémon","0%","100%",1.4,40,3,80,80,90,110,130,110,"Levitate",NA,NA,NA,"UUBL"
381,3,"Latios","ラティオス (Latios)","Dragon","Psychic","Eon Pokémon","100%","0%",2,60,3,80,90,80,130,110,110,"Levitate",NA,NA,NA,"UU"
382,3,"Kyogre","カイオーガ (Kyogre)","Water",NA,"Sea Basin Pokémon","","",4.5,352,3,100,100,90,150,140,90,"Drizzle",NA,NA,NA,"Uber"
383,3,"Groudon","グラードン (Groudon)","Ground",NA,"Continent Pokémon","","",3.5,950,3,100,150,140,100,90,90,"Drought",NA,NA,NA,"Uber"
384,3,"Rayquaza","レックウザ (Rayquaza)","Dragon","Flying","Sky High Pokémon","","",7,206.5,45,105,150,90,150,90,95,"Air Lock",NA,NA,NA,"Uber"
385,3,"Jirachi","ジラーチ (Jirachi)","Steel","Psychic","Wish Pokémon","","",0.3,1.1,3,100,100,100,100,100,100,"Serene Grace",NA,NA,NA,"RU"
386,3,"Deoxys","デオキシス (Deoxys)","Psychic",NA,"DNA Pokémon","","",1.7,60.8,3,50,150,50,150,50,150,"Pressure",NA,NA,NA,"Uber"
387,4,"Turtwig","ナエトル (Naetle)","Grass",NA,"Tiny Leaf Pokémon","87.5%","12.5%",0.4,10.2,45,55,68,64,45,55,31,"Overgrow",NA,"Shell Armor",NA,"LC"
388,4,"Grotle","ハヤシガメ (Hayashigame)","Grass",NA,"Grove Pokémon","87.5%","12.5%",1.1,97,45,75,89,85,55,65,36,"Overgrow",NA,"Shell Armor",NA,"NFE"
389,4,"Torterra","ドダイトス (Dodaitose)","Grass","Ground","Continent Pokémon","87.5%","12.5%",2.2,310,45,95,109,105,75,85,56,"Overgrow",NA,"Shell Armor",NA,"PUBL"
390,4,"Chimchar","ヒコザル (Hikozaru)","Fire",NA,"Chimp Pokémon","87.5%","12.5%",0.5,6.2,45,44,58,44,58,44,61,"Blaze",NA,"Iron Fist",NA,"LC"
391,4,"Monferno","モウカザル (Moukazaru)","Fire","Fighting","Playful Pokémon","87.5%","12.5%",0.9,22,45,64,78,52,78,52,81,"Blaze",NA,"Iron Fist",NA,"NFE"
392,4,"Infernape","ゴウカザル (Goukazaru)","Fire","Fighting","Flame Pokémon","87.5%","12.5%",1.2,55,45,76,104,71,104,71,108,"Blaze",NA,"Iron Fist",NA,"NU"
393,4,"Piplup","ポッチャマ (Pochama)","Water",NA,"Penguin Pokémon","87.5%","12.5%",0.4,5.2,45,53,51,53,61,56,40,"Torrent",NA,"Competitive",NA,"LC"
394,4,"Prinplup","ポッタイシ (Pottaishi)","Water",NA,"Penguin Pokémon","87.5%","12.5%",0.8,23,45,64,66,68,81,76,50,"Torrent",NA,"Competitive",NA,"NFE"
395,4,"Empoleon","エンペルト (Emperte)","Water","Steel","Emperor Pokémon","87.5%","12.5%",1.7,84.5,45,84,86,88,111,101,60,"Torrent",NA,"Competitive",NA,"RU"
396,4,"Starly","ムックル (Mukkuru)","Normal","Flying","Starling Pokémon","50%","50%",0.3,2,255,40,55,30,30,30,60,"Keen Eye",NA,"Reckless",NA,"LC"
397,4,"Staravia","ムクバード (Mukubird)","Normal","Flying","Starling Pokémon","50%","50%",0.6,15.5,120,55,75,50,40,40,80,"Intimidate",NA,"Reckless",NA,"NFE"
398,4,"Staraptor","ムクホーク (Mukuhawk)","Normal","Flying","Predator Pokémon","50%","50%",1.2,24.9,45,85,120,70,50,60,100,"Intimidate",NA,"Reckless",NA,"NU"
399,4,"Bidoof","ビッパ (Bippa)","Normal",NA,"Plump Mouse Pokémon","50%","50%",0.5,20,255,59,45,40,35,40,31,"Simple","Unaware","Moody",NA,"National Dex"
400,4,"Bibarel","ビーダル (Beadaru)","Normal","Water","Beaver Pokémon","50%","50%",1,31.5,127,79,85,60,55,60,71,"Simple","Unaware","Moody",NA,"National Dex"
401,4,"Kricketot","コロボーシ (Korobohshi)","Bug",NA,"Cricket Pokémon","50%","50%",0.3,2.2,255,37,25,41,25,41,25,"Shed Skin",NA,"Run Away",NA,"LC"
402,4,"Kricketune","コロトック (Korotock)","Bug",NA,"Cricket Pokémon","50%","50%",1,25.5,45,77,85,51,55,51,65,"Swarm",NA,"Technician",NA,"ZU"
403,4,"Shinx","コリンク (Kolink)","Electric",NA,"Flash Pokémon","50%","50%",0.5,9.5,235,45,65,34,40,34,45,"Rivalry","Intimidate","Guts",NA,"LC"
404,4,"Luxio","ルクシオ (Luxio)","Electric",NA,"Spark Pokémon","50%","50%",0.9,30.5,120,60,85,49,60,49,60,"Rivalry","Intimidate","Guts",NA,"NFE"
405,4,"Luxray","レントラー (Rentorar)","Electric",NA,"Gleam Eyes Pokémon","50%","50%",1.4,42,45,80,120,79,95,79,70,"Rivalry","Intimidate","Guts",NA,"ZU"
406,4,"Budew","スボミー (Subomie)","Grass","Poison","Bud Pokémon","50%","50%",0.2,1.2,255,40,30,35,50,70,55,"Natural Cure","Poison Point","Leaf Guard",NA,"National Dex"
407,4,"Roserade","ロズレイド (Roserade)","Grass","Poison","Bouquet Pokémon","50%","50%",0.9,14.5,75,60,70,65,125,105,90,"Natural Cure","Poison Point","Technician",NA,"National Dex"
408,4,"Cranidos","ズガイドス (Zugaidos)","Rock",NA,"Head Butt Pokémon","87.5%","12.5%",0.9,31.5,45,67,125,40,30,30,58,"Mold Breaker",NA,"Sheer Force",NA,"LC"
409,4,"Rampardos","ラムパルド (Rampald)","Rock",NA,"Head Butt Pokémon","87.5%","12.5%",1.6,102.5,45,97,165,60,65,50,58,"Mold Breaker",NA,"Sheer Force",NA,"ZU"
410,4,"Shieldon","タテトプス (Tatetops)","Rock","Steel","Shield Pokémon","87.5%","12.5%",0.5,57,45,30,42,118,42,88,30,"Sturdy",NA,"Soundproof",NA,"LC"
411,4,"Bastiodon","トリデプス (Torideps)","Rock","Steel","Shield Pokémon","87.5%","12.5%",1.3,149.5,45,60,52,168,47,138,30,"Sturdy",NA,"Soundproof",NA,"ZU"
412,4,"Burmy","ミノムッチ (Minomucchi)","Bug",NA,"Bagworm Pokémon","50%","50%",0.2,3.4,120,40,29,45,29,45,36,"Shed Skin",NA,"Overcoat",NA,"National Dex"
413,4,"Wormadam","ミノマダム (Minomadam)","Bug","Grass","Bagworm Pokémon","0%","100%",0.5,6.5,45,60,59,85,79,105,36,"Anticipation",NA,"Overcoat",NA,"National Dex"
414,4,"Mothim","ガーメイル (Gamale)","Bug","Flying","Moth Pokémon","100%","0%",0.9,23.3,45,70,94,50,94,50,66,"Swarm",NA,"Tinted Lens",NA,"National Dex"
415,4,"Combee","ミツハニー (Mitsuhoney)","Bug","Flying","Tiny Bee Pokémon","87.5%","12.5%",0.3,5.5,120,30,30,42,30,42,70,"Honey Gather",NA,"Hustle",NA,"LC"
416,4,"Vespiquen","ビークイン (Beequen)","Bug","Flying","Beehive Pokémon","0%","100%",1.2,38.5,45,70,80,102,80,102,40,"Pressure",NA,"Unnerve",NA,"ZU"
417,4,"Pachirisu","パチリス (Pachirisu)","Electric",NA,"EleSquirrel Pokémon","50%","50%",0.4,3.9,200,60,45,70,45,90,95,"Run Away","Pickup","Volt Absorb",NA,"ZU"
418,4,"Buizel","ブイゼル (Buoysel)","Water",NA,"Sea Weasel Pokémon","50%","50%",0.7,29.5,190,55,65,35,60,30,85,"Swift Swim",NA,"Water Veil",NA,"LC"
419,4,"Floatzel","フローゼル (Floazel)","Water",NA,"Sea Weasel Pokémon","50%","50%",1.1,33.5,75,85,105,55,85,50,115,"Swift Swim",NA,"Water Veil",NA,"ZUBL"
420,4,"Cherubi","チェリンボ (Cherinbo)","Grass",NA,"Cherry Pokémon","50%","50%",0.4,3.3,190,45,35,45,62,53,35,"Chlorophyll",NA,NA,NA,"National Dex"
421,4,"Cherrim","チェリム (Cherrim)","Grass",NA,"Blossom Pokémon","50%","50%",0.5,9.3,75,70,60,70,87,78,85,"Flower Gift",NA,NA,NA,"National Dex"
422,4,"Shellos","カラナクシ (Karanakushi)","Water",NA,"Sea Slug Pokémon","50%","50%",0.3,6.3,190,76,48,48,57,62,34,"Sticky Hold","Storm Drain","Sand Force",NA,"LC"
423,4,"Gastrodon","トリトドン (Tritodon)","Water","Ground","Sea Slug Pokémon","50%","50%",0.9,29.9,75,111,83,68,92,82,39,"Sticky Hold","Storm Drain","Sand Force",NA,"RU"
424,4,"Ambipom","エテボース (Eteboth)","Normal",NA,"Long Tail Pokémon","50%","50%",1.2,20.3,45,75,100,66,60,66,115,"Technician","Pickup","Skill Link",NA,"PU"
425,4,"Drifloon","フワンテ (Fuwante)","Ghost","Flying","Balloon Pokémon","50%","50%",0.4,1.2,125,90,50,34,60,44,70,"Aftermath","Unburden","Flare Boost",NA,"LC"
426,4,"Drifblim","フワライド (Fuwaride)","Ghost","Flying","Blimp Pokémon","50%","50%",1.2,15,60,150,80,44,90,54,80,"Aftermath","Unburden","Flare Boost",NA,"ZU"
427,4,"Buneary","ミミロル (Mimirol)","Normal",NA,"Rabbit Pokémon","50%","50%",0.4,5.5,190,55,66,44,44,56,85,"Run Away","Klutz","Limber",NA,"National Dex"
428,4,"Lopunny","ミミロップ (Mimilop)","Normal",NA,"Rabbit Pokémon","50%","50%",1.2,33.3,60,65,76,84,54,96,105,"Cute Charm","Klutz","Limber",NA,"National Dex"
429,4,"Mismagius","ムウマージ (Mumargi)","Ghost",NA,"Magical Pokémon","50%","50%",0.9,4.4,45,60,60,60,105,105,105,"Levitate",NA,NA,NA,"PU"
